id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H
a0000433,   433 Eros (1898 DQ),Y,N,0.148623,0.2229512543292728,1.458045728845658,1.132972604730079,10.83054270817127,16.84,0.25,AMO,10.4
a0000719,   719 Albert (1911 MT),Y,N,0.203482,0.5465584653041263,2.63860206439375,1.196451769530403,11.56748478123323,2.854166808844959,,AMO,15.4
a0000887,   887 Alinda (1918 DB),Y,N,0.0822169,0.5703317209528221,2.473736933344562,1.062886290965601,9.393853627381493,4.2,0.31,AMO,13.8
a0001036,  1036 Ganymed (1924 TD),Y,N,0.344956,0.5330461318945989,2.664724624129541,1.244303470673,26.67764314200324,37.675,0.238,AMO,9.4
a0001221,  1221 Amor (1932 EA1),Y,N,0.107451,0.4352848951955979,1.919498151732462,1.083969599927454,11.876537245188,1.0,,AMO,17.7
a0001566,  1566 Icarus (1949 MA),Y,Y,0.0342447,0.8270213269059251,1.078168924000127,0.1865002298448085,22.82211332714178,1.0,0.51,APO,16.9
a0001580,  1580 Betulia (1950 KA),Y,N,0.136136,0.4873502364761739,2.197150031438465,1.126368444043296,52.09207037962277,5.8,0.08,AMO,14.7
a0001620,  1620 Geographos (1951 RA),Y,Y,0.0303535,0.3354548020109591,1.245666863784177,0.8278019326218434,13.3370434846758,2.56,0.29,APO,15.3
a0001627,  1627 Ivar (1929 SH),Y,N,0.111952,0.3967830584211662,1.863272945035357,1.123957807230815,8.451869829201128,9.12,0.15,AMO,12.7
a0001685,  1685 Toro (1948 OA),Y,N,0.0506645,0.4358371095351947,1.367586471763582,0.7715415368707073,9.38313202457519,3.4,0.31,APO,14.3
a0001862,  1862 Apollo (1932 HA),Y,Y,0.0258141,0.5599167398990702,1.470345437077941,0.6470744134237867,6.35473160977809,1.5,0.25,APO,16.25
a0001863,  1863 Antinous (1948 EA),Y,N,0.182709,0.6065072158844008,2.25841153066709,0.888668640880965,18.40043539987664,2.1,0.24,APO,15.3
a0001864,  1864 Daedalus (1971 FA),Y,N,0.269089,0.6144701471693611,1.460916421406999,0.563226892942904,22.21196021633772,3.7,0.273,APO,14.7
a0001865,  1865 Cerberus (1971 UA),Y,N,0.156542,0.4668530872323081,1.079993935235791,0.5757954323787924,16.09595153284522,1.2,0.22,APO,16.7
a0001866,  1866 Sisyphus (1972 XA),Y,N,0.104589,0.5380833048396872,1.893699209973506,0.8747312806986572,41.19929077256851,8.48,0.15,APO,12.4
a0001915,  1915 Quetzalcoatl (1953 EA),Y,N,0.10802,0.5705651799672322,2.543415980989979,1.092231384064897,20.40461297143561,0.5,0.21,AMO,18.97
a0001916,  1916 Boreas (1953 RA),Y,N,0.252842,0.4496411673900472,2.273086560372281,1.251013265787861,12.8801026568061,3.5,,AMO,14.8
a0001917,  1917 Cuyo (1968 AA),Y,N,0.0727329,0.5055075495391738,2.149076811685362,1.062702258838834,23.95916212632452,5.7,0.195,AMO,14.3
a0001943,  1943 Anteros (1973 EC),Y,N,0.0623068,0.2559951667053227,1.430462184139215,1.064270778844837,8.706205566935322,2.3,0.17,AMO,15.6
a0001980,  1980 Tezcatlipoca (1950 LA),Y,N,0.245963,0.3645634487547003,1.709577917567304,1.086328296024089,26.86722511059119,4.3,0.25,AMO,13.8
