id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H,spectral_class
a0000433,   433 Eros (A898 PA),Y,N,0.148,0.2228,1.458,1.1331575999999999,10.83,16.84,0.25,NEO,10.39,S
a0000887,   887 Alinda (A918 AA),Y,N,0.0797,0.5712,2.474,1.0608511999999999,9.4,4.2,0.31,NEO,13.82,S
a0001036,  1036 Ganymed (A924 UB),Y,N,0.343,0.5332,2.665,1.244022,26.68,37.675,0.238,NEO,9.17,S
a0001566,  1566 Icarus (1949 MA),Y,Y,0.0335,0.827,1.078,0.18649400000000005,22.8,1.0,0.51,NEO,16.53,M
a0001580,  1580 Betulia (1950 KA),Y,N,0.132,0.4876,2.195,1.1247179999999999,52.19,5.8,0.08,NEO,14.54,C
a0001620,  1620 Geographos (1951 RA),Y,Y,0.0294,0.3355,1.246,0.827967,13.34,2.56,0.29,NEO,15.26,S
a0001627,  1627 Ivar (1929 SH),Y,N,0.109,0.3973,1.863,1.1228301,8.46,9.12,0.15,NEO,12.79,C
a0001685,  1685 Toro (1948 OA),Y,N,0.0511,0.436,1.368,0.7715520000000001,9.38,3.4,0.31,NEO,14.28,S
a0001862,  1862 Apollo (1932 HA),Y,Y,0.026,0.5599,1.471,0.6473871000000001,6.35,1.5,0.25,NEO,16.09,S
a0001863,  1863 Antinous (1948 EA),Y,N,0.187,0.6063,2.26,0.889762,18.38,2.1,0.24,NEO,15.35,S
a0001864,  1864 Daedalus (1971 FA),Y,N,0.269,0.6144,1.461,0.5633616000000001,22.22,3.7,0.273,NEO,14.83,S
a0001865,  1865 Cerberus (1971 UA),Y,N,0.157,0.4669,1.08,0.575748,16.1,1.2,0.22,NEO,16.77,S
a0001866,  1866 Sisyphus (1972 XA),Y,N,0.104,0.5381,1.893,0.8743767,41.21,8.48,0.15,NEO,12.48,C
a0001915,  1915 Quetzalcoatl (1953 EA),Y,N,0.109,0.5702,2.545,1.0938409999999998,20.4,0.5,0.21,NEO,18.38,S
a0001917,  1917 Cuyo (1968 AA),Y,N,0.0717,0.5055,2.149,1.0626805000000001,23.96,5.7,0.195,NEO,14.38,S
a0001943,  1943 Anteros (1973 EC),Y,N,0.0609,0.2559,1.431,1.0648071000000001,8.71,2.3,0.17,NEO,15.68,S
a0001980,  1980 Tezcatlipoca (1950 LA),Y,N,0.245,0.3647,1.709,1.0857277,26.87,4.3,0.25,NEO,13.8,S
a0002062,  2062 Aten (1976 AA),Y,N,0.113,0.1829,0.967,0.7901356999999999,18.94,1.1,0.26,NEO,17.11,S
a0002063,  2063 Bacchus (1977 HB),Y,N,0.0667,0.3494,1.078,0.7013468000000002,9.43,1.024,0.203,NEO,17.21,S
a0002100,  2100 Ra-Shalom (1978 RA),Y,N,0.15,0.4365,0.832,0.46883199999999997,15.76,2.3,0.13,NEO,16.24,C
a0002102,  2102 Tantalus (1975 YA),Y,Y,0.0426,0.2994,1.29,0.9037740000000001,64.01,1.649,0.245,NEO,16.0,S
a0002201,  2201 Oljato (1947 XC),Y,Y,0.00278,0.7107,2.179,0.6303846999999999,2.52,1.8,0.4328,NEO,15.32,M
a0002212,  2212 Hephaistos (1978 SB),Y,N,0.112,0.8347,2.168,0.35837040000000003,11.2,5.7,0.163,NEO,13.45,S
a0002368,  2368 Beltrovata (1977 RA),Y,N,0.231,0.4134,2.105,1.234793,5.22,2.3,0.27,NEO,15.18,S
a0002608,  2608 Seneca (1978 DA),Y,N,0.153,0.5647,2.53,1.1013089999999999,14.43,0.9,0.21,NEO,17.48,S
a0003103,  3103 Eger (1982 BB),Y,N,0.0786,0.3542,1.404,0.9067031999999998,20.93,1.5,0.64,NEO,15.3,M
a0003122,  3122 Florence (1981 ET3),Y,Y,0.0436,0.4232,1.769,1.0203592,22.14,4.9,0.231,NEO,14.08,S
a0003199,  3199 Nefertiti (1982 RA),Y,N,0.215,0.2841,1.575,1.1275425,32.96,2.2,0.42,NEO,14.99,M
a0003200,  3200 Phaethon (1983 TB),Y,Y,0.0187,0.8897,1.271,0.14019129999999994,22.31,6.25,0.1066,NEO,14.38,C
a0003288,  3288 Seleucus (1982 DV),Y,N,0.105,0.4545,2.034,1.1095469999999998,5.93,2.8,0.22,NEO,15.34,S
a0003360,  3360 Syrinx (1981 VA),Y,N,0.11,0.7474,2.466,0.6229116000000001,21.07,1.8,0.17,NEO,16.03,S
a0003361,  3361 Orpheus (1982 HR),Y,Y,0.0146,0.3232,1.21,0.8189280000000001,2.65,0.3,0.357,NEO,19.5,M
a0003362,  3362 Khufu (1984 QA),Y,Y,0.013,0.4685,0.9895,0.52591925,9.92,0.7,0.21,NEO,18.52,S
a0003551,  3551 Verenia (1983 RD),Y,N,0.0749,0.4868,2.093,1.0741276,9.51,0.9,0.37,NEO,16.72,M
a0003552,  3552 Don Quixote (1983 SA),Y,N,0.342,0.7073,4.27,1.2498289999999996,31.05,19.0,0.03,NEO,13.03,C
a0003554,  3554 Amun (1986 EB),Y,N,0.25,0.2806,0.974,0.7006956,23.36,3.341,0.074,NEO,15.91,C
a0003671,  3671 Dionysus (1984 KD),Y,Y,0.015,0.5438,2.197,1.0022714000000001,13.53,1.5,0.16,NEO,16.5,S
a0003691,  3691 Bede (1982 FT),Y,N,0.35,0.2845,1.774,1.2692970000000001,20.35,4.3,0.515,NEO,14.93,M
a0003752,  3752 Camillo (1985 PA),Y,N,0.0778,0.3015,1.414,0.987679,55.56,2.306,0.21,NEO,15.14,S
a0003753,  3753 Cruithne (1986 TO),Y,N,0.0703,0.5149,0.9978,0.48403278,19.8,2.071,0.365,NEO,15.42,M
a0003757,  3757 Anagolay (1982 XB),Y,Y,0.0366,0.4459,1.835,1.0167735,3.87,0.5,0.18,NEO,19.01,S
a0003908,  3908 Nyx (1980 PA),Y,N,0.0567,0.459,1.928,1.0430479999999998,2.19,1.0,0.23,NEO,17.45,S
a0004015,  4015 Wilson-Harrington (1979 VA),Y,Y,0.043,0.6309,2.626,0.9692565999999999,2.8,4.0,0.05,NEO,16.19,C
